id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
1163,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Sports,Nike Sahara Team India Fanwear Round Neck Jersey
1164,Men,Apparel,Topwear,Tshirts,Blue,Winter,2015,Sports,Nike Men Blue T20 Indian Cricket Jersey
1165,Men,Apparel,Topwear,Tshirts,Blue,Summer,2013,Sports,Nike Mean Team India Cricket Jersey
1525,Unisex,Accessories,Bags,Backpacks,Navy Blue,Fall,2010,Casual,Puma Deck Navy Blue Backpack
1526,Unisex,Accessories,Bags,Backpacks,Black,Fall,2010,Sports,Puma Big Cat Backpack Black
1528,Men,Apparel,Topwear,Jackets,Black,Fall,2010,Sports,Puma Men Ferrari Black Fleece Jacket
1529,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Casual,Ferrari Tee
1530,Men,Apparel,Topwear,Jackets,Red,Fall,2010,Sports,Puma Men Ferrari Track Jacket
1531,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Casual,Puma Men Grey Solid Round Neck T-Shirt
1532,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Casual,Puma Men Grey Leaping Cat T-shirt
1533,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Casual,Puma Men Cat Red T-shirt
1534,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Casual,Puma Men Black Leaping Cat T-shirt
1535,Unisex,Accessories,Headwear,Caps,Black,Fall,2010,Sports,Puma Unisex Logo Cap
1536,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Puma Men Black Net Jersey
1537,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Puma Men Red Net Jersey
1538,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Casual,Puma Men Ferrari Track Black T-shirt
1539,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Casual,Puma Men Ferrari Grey T-shirt
1540,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Casual,Puma Men Ferrari Vintage Black Polo T-shirt
1541,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Puma Men's Ballistic Spike White Green Shoe
1542,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Puma Men's Ballistic Rubber Shoe
1543,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2010,Casual,Puma Men Basket-Biz Sneaker
1544,Men,Footwear,Shoes,Casual Shoes,White,Fall,2010,Casual,Puma Men's Basket Bump Sneaker
1545,Men,Footwear,Shoes,Casual Shoes,White,Fall,2010,Casual,Puma Men's Speed Cat Shoe
1546,Men,Footwear,Shoes,Casual Shoes,White,Fall,2010,Casual,Puma Men's Furore White Shoe
1547,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2010,Casual,Puma Men's Ducati Sneaker
1548,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Puma Men's Cell Exsis Sneaker
1549,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Puma Men's Jiyu Slip On Sneaker
1550,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010,Sports,Puma Cat Trainer-WBL Football
1551,Unisex,Sporting Goods,Sports Equipment,Footballs,Orange,Fall,2010,Sports,Puma Power Cat Trainer-OB Football
1552,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010,Sports,Puma Power Cat Trainer-WR Football
1553,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010,Sports,Puma Power Cat Hard Ground Football
1554,Unisex,Accessories,Water Bottle,Water Bottle,Blue,Fall,2010,Casual,Quechua  Blue Sipper
1555,Unisex,Accessories,Water Bottle,Water Bottle,Purple,Fall,2010,Sports,Quechua Red Sipper
1556,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011,Sports,Quechua Forclaz Large  Backpack - 50 ltr Orange
1557,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011,Travel,Quechua Spacious Blue-Black Backpack
1558,Unisex,Accessories,Water Bottle,Water Bottle,Blue,Fall,2010,Sports,Quechua Easy-to-Carry Blue Water Bottle
1559,Unisex,Accessories,Bags,Backpacks,Blue,Summer,2011,Travel,Quechua Blue Light Backpack
1561,Women,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Quechua Women Sweat Proof White T-shirt
1562,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Sports,Quechua Men Sweat Proof Grey T-shirt
1563,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Sports,Quechua Men Sweat Proof Blue T-shirt
1565,Unisex,Accessories,Bags,Backpacks,Green,Summer,2011,Travel,Quechua Green Light Backpack
1566,Men,Accessories,Headwear,Caps,Black,Summer,2011,Sports,Artengo Men Black Cap
1567,Men,Apparel,Bottomwear,Shorts,Black,Fall,2010,Sports,Artengo Men Training Shorts
1569,Men,Apparel,Bottomwear,Shorts,Black,Fall,2010,Sports,Artengo Men Black Tennis Shorts
1570,Women,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Artengo Women Tennis Singlet
1571,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Kalenji Men's Super Soft Sports Shoes
1572,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2010,Sports,Kalenji Mens Essential Training Track Pants
1573,Women,Apparel,Bottomwear,Track Pants,Grey,Fall,2010,Sports,Kalenji Women Athletes Grey Track Pants
1575,Men,Apparel,Topwear,Tshirts,White,Summer,2011,Casual,Kipsta Men Sports White T-shirt
1577,Unisex,Accessories,Headwear,Caps,Green,Fall,2010,Sports,Inesis  Slim Shady Cap
1578,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Domyos Men Good Stroke Red T-shirt
1579,Men,Apparel,Topwear,Jackets,Grey,Fall,2010,Sports,Domyos Men Grey Second Skin Jacket
1580,Women,Apparel,Bottomwear,Swimwear,Black,Fall,2010,Sports,Nabaiji Women Cross-back Swimsuit
1581,Unisex,Accessories,Headwear,Caps,Pink,Summer,2011,Sports,Nabaiji Unisex Silicone Swimming Cap
1582,Unisex,Apparel,Bottomwear,Swimwear,Black,Summer,2011,Sports,Nabaiji Unisex Black Silicone Swimming Cap
1583,Women,Apparel,Bottomwear,Swimwear,Black,Fall,2010,Sports,Nabaiji Women Black Swimsuit
1584,Unisex,Apparel,Topwear,Jackets,White,Summer,2011,Casual,Domyos Unisex Feather-light Jacket
1587,Men,Footwear,Shoes,Sports Shoes,White,Spring,2010,Sports,Kipsta Men Superfit Football White Shoe
1588,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Casual,Domyos Men White Dry-Fit T-shirt
1590,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2010,Sports,Kipsta Men's F300 Football Shoe
1591,Men,Apparel,Bottomwear,Shorts,Red,Fall,2010,Sports,Kipsta Men Red Shorts
1592,Men,Footwear,Shoes,Sports Shoes,Red,Summer,2011,Sports,Kipsta Men's Superfit Football Red Shoe
1594,Unisex,Footwear,Shoes,Casual Shoes,Grey,Fall,2012,Casual,Newfeel Unisex Grey Mesh Lightweight Shoe
1595,Men,Apparel,Topwear,Tshirts,Black,Spring,2010,Sports,Domyos Men Good Stroke Black T-shirt
1596,Men,Accessories,Water Bottle,Water Bottle,Pink,Fall,2010,Sports,Quechua Easy-to-Carry Pink Sipper
1597,Women,Accessories,Bags,Handbags,Black,Summer,2011,Travel,Geonaute Women Black Outdoor Bag
1598,Women,Accessories,Bags,Handbags,Blue,Summer,2011,Travel,Geonaute Women Blue Outdoor Bag
1599,Women,Accessories,Bags,Handbags,Green,Summer,2011,Travel,Geonaute Women Green Outdoor Bag
1603,Men,Apparel,Topwear,Sweatshirts,Navy Blue,Fall,2010,Casual,Reebok Men Hoops Athletic Navy Sweatshirt
1604,Women,Apparel,Bottomwear,Track Pants,Blue,Fall,2010,Sports,Reebok Track Pants Women Blue
1605,Women,Apparel,Bottomwear,Track Pants,Black,Fall,2010,Sports,Reebok Black Track Pant
1607,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,2010,Sports,Reebok Men trackpant- male Track Pants
1608,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,2010,Sports,Reebok Track Pants Jet Black
1609,Women,Apparel,Topwear,Sweatshirts,Pink,Fall,2010,Sports,Reebok Women Boat-Neck Wildberry Sweatshirt
1610,Women,Apparel,Topwear,Jackets,Navy Blue,Summer,2011,Casual,Reebok Navy Jacket
1611,Women,Apparel,Topwear,Jackets,Black,Summer,2010,Sports,Reebok Knit Rib Women Black Jacket
1612,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Casual,Reebok Orange & White Striped Polo T-shirt
1613,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Casual,Reebok Men White Polo Tshirt
1614,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Reebok T-shirt White Polo Tshirt
1615,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2010,Casual,Reebok Men Navy Blue Polo T-shirt
1616,Men,Apparel,Topwear,Tshirts,White,Summer,2010,Sports,Reebok Men's Shoot White T-Shirt
1617,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Reebok Men Shoot T-Shirt Red
1618,Men,Footwear,Shoes,Sports Shoes,White,Summer,2010,Sports,Reebok Men United Runner White
1619,Men,Apparel,Bottomwear,Shorts,Grey,Fall,2010,Sports,Reebok Men Micro Shorts Grey and White
1620,Men,Apparel,Bottomwear,Shorts,Blue,Fall,2010,Sports,Reebok Men Micro Shorts
1621,Men,Apparel,Bottomwear,Shorts,Grey,Fall,2010,Sports,Reebok Men Micro Shorts Black and White
1622,Men,Apparel,Topwear,Jackets,Navy Blue,Summer,2016,Casual,Reebok Navy Knit Rib Jacket
1623,Unisex,Accessories,Bags,Backpacks,Red,Summer,2011,Casual,Reebok Unisex Red Backpack
1624,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011,Sports,Reebok Silver-Black Laptop Backpack
1625,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Domyos Men Quick Dry T-shirt
1626,Unisex,Sporting Goods,Sports Equipment,Footballs,Blue,Summer,2011,Sports,Kipsta F300 Football Size 5 Football
1627,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010,Sports,Kipsta F300 Football
1628,Unisex,Sporting Goods,Sports Equipment,Basketballs,Brown,Summer,2011,Sports,Kipsta Xtra Bounce Basketball
1634,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Inesis Water Repellent Canaveral Shoes
1635,Unisex,Footwear,Shoes,Casual Shoes,Red,Spring,2011,Casual,Newfeel Unisex Red Comfy Shoes
1636,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Nike Men Air Zoom Century Shoes
1637,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Nike Men White Cricket Shoes
1638,Unisex,Apparel,Bottomwear,Swimwear,Blue,Fall,2010,Sports,Nabaiji Swimming Goggles Blue Black
1641,Men,Footwear,Shoes,Sports Shoes,Silver,Fall,2010,Sports,Reebok Men's Hex Run Pure Silver Shoe
1642,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Reebok Men Winning Stride White Red
